encoder,case,arm,seed,test_mae,best_epoch,lr,n_params
gotennet,crysmtm:HOMO,pretrained,42,0.001860372576809,64,0.0001,288257
gotennet,crysmtm:HOMO,pretrained,123,0.0020825954945853,58,0.0001,288257
gotennet,crysmtm:HOMO,pretrained,456,0.0033183222831641,35,0.0001,288257
gotennet,crysmtm:HOMO,scratch,42,0.0056059467787921,28,0.0001,288257
gotennet,crysmtm:HOMO,scratch,123,0.0032759383818023,95,0.0001,288257
gotennet,crysmtm:HOMO,scratch,456,0.0023029388236436,95,0.0001,288257
gotennet,crysmtm:LUMO,pretrained,42,0.0015713611103257,30,0.0001,288257
gotennet,crysmtm:LUMO,pretrained,123,0.0031256858886695,44,0.0001,288257
gotennet,crysmtm:LUMO,pretrained,456,0.0026206313125651,46,0.0001,288257
gotennet,crysmtm:LUMO,scratch,42,0.0022044142142121,77,0.0001,288257
gotennet,crysmtm:LUMO,scratch,123,0.0013167467914919,99,0.0001,288257
gotennet,crysmtm:LUMO,scratch,456,0.0028569500174304,45,0.0001,288257
gotennet,md17:aspirin,pretrained,42,4.605716547012329,49,0.0001,288257
gotennet,md17:aspirin,pretrained,123,4.459196342468262,50,0.0001,288257
gotennet,md17:aspirin,pretrained,456,4.7105186004638675,5,0.0001,288257
gotennet,md17:aspirin,scratch,42,4.5995966300964355,49,0.0001,288257
gotennet,md17:aspirin,scratch,123,4.705705585479737,11,0.0001,288257
gotennet,md17:aspirin,scratch,456,4.646827529907227,50,0.0001,288257
gotennet,md17:benzene,pretrained,42,1.1278811073303223,50,0.0001,288257
gotennet,md17:benzene,pretrained,123,1.2263963966369629,49,0.0001,288257
gotennet,md17:benzene,pretrained,456,0.9428400793075562,44,0.0001,288257
gotennet,md17:benzene,scratch,42,1.8351808853149416,6,0.0001,288257
gotennet,md17:benzene,scratch,123,1.8591067314147949,18,0.0001,288257
gotennet,md17:benzene,scratch,456,1.4444566268920898,48,0.0001,288257
gotennet,md17:ethanol,pretrained,42,3.044137344360351,50,0.0001,288257
gotennet,md17:ethanol,pretrained,123,2.3589974193573,47,0.0001,288257
gotennet,md17:ethanol,pretrained,456,2.4611499404907224,43,0.0001,288257
