config,seed,test_mae,best_val_mae,best_epoch,epochs_run,lr,load_mode,head_dropped,ep1_val_mae,n_params
scratch,42,0.907563,0.808141,44,50,0.0001,encoder,0,1.73391,266593
scratch,123,0.775693,0.784542,46,50,0.0001,encoder,0,1.554636,266593
scratch,456,0.843275,0.819667,43,50,0.0001,encoder,0,1.720388,266593
full_matched,42,0.813563,0.783917,50,50,0.0001,full,0,1.755945,266593
full_matched,123,0.707522,0.68795,43,50,0.0001,full,0,1.43254,266593
full_matched,456,0.72532,0.728909,41,50,0.0001,full,0,1.627751,266593
full_asym,42,1.439736,1.430179,47,50,1e-05,full,0,8.781599,266593
full_asym,123,1.470509,1.218278,46,50,1e-05,full,0,6.497832,266593
full_asym,456,1.424603,1.389403,50,50,1e-05,full,0,8.924445,266593
encoder_matched,42,0.866036,0.794494,46,50,0.0001,encoder,4,1.897034,266593
encoder_matched,123,0.727198,0.706334,49,50,0.0001,encoder,4,1.425865,266593
encoder_matched,456,0.776615,0.718276,46,50,0.0001,encoder,4,2.087641,266593
encoder_asym,42,1.371074,1.358966,47,50,1e-05,encoder,4,3.577364,266593
encoder_asym,123,1.405033,1.237231,47,50,1e-05,encoder,4,6.337846,266593
encoder_asym,456,1.418745,1.387706,50,50,1e-05,encoder,4,21.401472,266593
